X,Y,Z,formation
0,0,-50,Quaternary
0,2000,-50,Quaternary
2000,0,-50,Quaternary
2000,2000,-50,Quaternary
0,0,-400,Albian
0,2000,-300,Albian
2000,0,-400,Albian
2000,2000,-300,Albian
0,0,-500,Aptian
0,2000,-400,Aptian
2000,0,-500,Aptian
2000,2000,-400,Aptian
0,0,-750,Barremian
0,2000,-700,Barremian
2000,0,-750,Barremian
2000,2000,-700,Barremian
0,0,-1050,Hauterivian
0,2000,-1000,Hauterivian
2000,0,-1050,Hauterivian
2000,2000,-1000,Hauterivian
0,0,-1100,Valanginian
0,2000,-1050,Valanginian
2000,0,-1100,Valanginian
2000,2000,-1050,Valanginian
0,0,-1200,Wealden
0,2000,-1150,Wealden
2000,0,-1200,Wealden
2000,2000,-1150,Wealden
0,0,-1400,Jurassic_Upper
0,2000,-1400,Jurassic_Upper
2000,0,-1400,Jurassic_Upper
2000,2000,-1400,Jurassic_Upper
0,0,-2300,Jurassic_Middle
0,2000,-2300,Jurassic_Middle
2000,0,-2400,Jurassic_Middle
2000,2000,-2400,Jurassic_Middle
0,0,-2650,Jurassic_Lower
0,2000,-2650,Jurassic_Lower
2000,0,-2800,Jurassic_Lower
2000,2000,-2800,Jurassic_Lower
0,0,-3085,Keuper
0,2000,-3085,Keuper
2000,0,-3100,Keuper
2000,2000,-3100,Keuper
0,0,-3500,Buntsandstein_Muschelkalk
0,2000,-3500,Buntsandstein_Muschelkalk
2000,0,-3600,Buntsandstein_Muschelkalk
2000,2000,-3600,Buntsandstein_Muschelkalk
0,0,-3950,Buntsandstein
0,2000,-3950,Buntsandstein
2000,0,-4100,Buntsandstein
2000,2000,-4100,Buntsandstein
0,0,-4200,Zechstein
0,2000,-4200,Zechstein
2000,0,-4200,Zechstein
2000,2000,-4200,Zechstein
