X,Y,Z,formation
2000,0,-70,Quaternary
0,0,-70,Quaternary
0,2000,-70,Quaternary
2000,2000,-70,Quaternary
2000,0,-160,Tertiary
0,0,-220,Tertiary
0,2000,-160,Tertiary
2000,2000,-160,Tertiary
2000,0,-280,Buntsandstein
0,0,-745,Buntsandstein
0,2000,-280,Buntsandstein
2000,2000,-280,Buntsandstein
2000,0,-335,Aller
0,0,-800,Aller
0,2000,-335,Aller
2000,2000,-335,Aller
2000,0,-350,Tonmittelsalz
0,0,-815,Tonmittelsalz
0,2000,-350,Tonmittelsalz
2000,2000,-350,Tonmittelsalz
2000,0,-425,Anhydritmittelsalz
0,0,-890,Anhydritmittelsalz
0,2000,-425,Anhydritmittelsalz
2000,2000,-425,Anhydritmittelsalz
2000,0,-443,Leine_Potash
0,0,-908,Leine_Potash
0,2000,-443,Leine_Potash
2000,2000,-443,Leine_Potash
2000,0,-475,Leine_Rocksalt
0,0,-960,Leine_Rocksalt
0,2000,-475,Leine_Rocksalt
2000,2000,-475,Leine_Rocksalt
2000,0,-515,Leine_Hauptanhydrit
0,0,-1035,Leine_Hauptanhydrit
0,2000,-515,Leine_Hauptanhydrit
2000,2000,-515,Leine_Hauptanhydrit
2000,0,-532,Strassfurt_Potash
0,0,-1075,Strassfurt_Potash
0,2000,-532,Strassfurt_Potash
2000,2000,-532,Strassfurt_Potash
2000,0,-682,Strassfurt_Rocksalt
0,0,-1340,Strassfurt_Rocksalt
0,2000,-682,Strassfurt_Rocksalt
2000,2000,-680,Strassfurt_Rocksalt
2000,0,-697,Anhydrite
0,0,-1355,Anhydrite
0,2000,-697,Anhydrite
2000,2000,-697,Anhydrite
2000,0,-732,Carbonate
0,0,-1390,Carbonate
0,2000,-732,Carbonate
2000,2000,-732,Carbonate
2000,0,-832,Rotliegend
0,0,-1490,Rotliegend
0,2000,-832,Rotliegend
2000,2000,-832,Rotliegend
