X,Y,Z,formation
0,0,515,Quaternary
0,2000,515,Quaternary
2000,0,515,Quaternary
2000,2000,515,Quaternary
0,0,475,Tertiary
0,2000,475,Tertiary
2000,0,400,Tertiary
2000,2000,400,Tertiary
0,0,200,Tithonian
0,2000,200,Tithonian
2000,0,175,Tithonian
2000,2000,175,Tithonian
0,0,150,Kimmeridgian
0,2000,150,Kimmeridgian
2000,0,125,Kimmeridgian
2000,2000,125,Kimmeridgian
0,0,0,Oxfordian
0,2000,0,Oxfordian
2000,0,-25,Oxfordian
2000,2000,-25,Oxfordian
0,0,-20,Jurassic_Middle_sequence1
0,2000,-20,Jurassic_Middle_sequence1
2000,0,-40,Jurassic_Middle_sequence1
2000,2000,-40,Jurassic_Middle_sequence1
0,0,-85,Jurassic_Middle_sequence2
0,2000,-85,Jurassic_Middle_sequence2
2000,0,-100,Jurassic_Middle_sequence2
2000,2000,-100,Jurassic_Middle_sequence2
0,0,-200,Opalinus_Clay
0,2000,-200,Opalinus_Clay
2000,0,-225,Opalinus_Clay
2000,2000,-225,Opalinus_Clay
0,0,-260,Jurassic_Lower_sequence1
0,2000,-260,Jurassic_Lower_sequence1
2000,0,-285,Jurassic_Lower_sequence1
2000,2000,-285,Jurassic_Lower_sequence1
0,0,-280,Jurassic_Lower_sequence2
0,2000,-280,Jurassic_Lower_sequence2
2000,0,-305,Jurassic_Lower_sequence2
2000,2000,-305,Jurassic_Lower_sequence2
0,0,-325,Keuper_sequence1
0,2000,-325,Keuper_sequence1
2000,0,-355,Keuper_sequence1
2000,2000,-355,Keuper_sequence1
0,0,-350,Keuper_sequence2
0,2000,-350,Keuper_sequence2
2000,0,-380,Keuper_sequence2
2000,2000,-380,Keuper_sequence2
0,0,-450,Keuper_sequence3
0,2000,-450,Keuper_sequence3
2000,0,-480,Keuper_sequence3
2000,2000,-480,Keuper_sequence3
0,0,-500,Muschelkalk_Upper
0,2000,-500,Muschelkalk_Upper
2000,0,-530,Muschelkalk_Upper
2000,2000,-530,Muschelkalk_Upper
0,0,-550,Muschelkalk_Middle
0,2000,-550,Muschelkalk_Middle
2000,0,-560,Muschelkalk_Middle
2000,2000,-560,Muschelkalk_Middle
0,0,-575,Muschelkalk_Lower
0,2000,-585,Muschelkalk_Lower
2000,0,-585,Muschelkalk_Lower
2000,2000,-585,Muschelkalk_Lower
